,City,Country,Latitude,Longitude,Temperatures,Humidity,Cloudiness,Windiness
410,Bathsheba,BB,13.2167,-59.5167,77.0,65,20,16.11
411,Verāval,IN,20.9,70.3667,75.79,26,0,9.89
412,Sola,VU,-13.8833,167.55,81.63,70,40,3.91
413,Malanje,AO,-9.5402,16.341,63.63,97,100,6.93
414,Belmonte,BR,-15.8631,-38.8828,78.8,83,75,9.22
415,El Vendrell,ES,41.2167,1.5333,48.99,100,94,1.99
416,Kloulklubed,PW,7.0419,134.2556,86.0,74,75,8.05
417,La Providencia,MX,28.7167,-111.5833,64.0,39,1,3.44
418,Verín,ES,41.9415,-7.4381,39.99,99,66,2.93
419,La Santisima Trinidad,BO,-14.8333,-64.9,75.31,88,84,0.49
420,Half Moon Bay,US,37.4636,-122.4286,55.4,81,20,4.61
421,Soubre,CI,5.7856,-6.6083,75.78,91,66,4.16
422,Souillac,MU,-20.5167,57.5167,84.2,65,40,12.66
423,Santa Vitória do Palmar,BR,-33.5189,-53.3681,63.63,87,21,5.26
424,Sitka,US,57.0531,-135.33,33.8,40,90,11.5
425,Quesnel,CA,52.9999,-122.5029,-0.4,71,40,8.05
426,Forssa,FI,60.8146,23.6215,14.0,94,32,4.32
427,General Roca,AR,-39.0333,-67.5833,64.4,52,75,17.27
428,Guipavas,FR,48.4352,-4.3972,37.4,80,100,8.05
429,Boende,CD,-0.2167,20.8667,69.51,69,94,1.74
430,Zhytomyr,UA,50.2649,28.6767,11.64,96,100,17.4
431,Ndélé,CF,8.4109,20.6473,60.75,31,59,6.96
432,Bahía Honda,CU,22.9036,-83.1592,72.59,87,1,3.0
433,Bundaberg,AU,-24.85,152.35,82.99,74,90,18.41
434,Kamina,CD,-8.7386,24.9906,66.61,90,100,4.74
435,Stari Bohorodchany,UA,48.8336,24.5243,23.2,97,100,11.68
436,Taos,US,36.4072,-105.5731,30.99,64,1,6.91
437,Boa Vista,BR,2.8197,-60.6733,78.8,78,0,13.8
438,Natal,BR,-5.795,-35.2094,80.6,78,40,9.22
439,Kotelnikowo,RU,47.6317,43.1461,19.31,75,100,3.76
440,Shambu,ET,9.5667,37.1,53.91,44,68,2.3
441,Alta Floresta,BR,-9.8756,-56.0861,69.87,97,100,2.19
442,Quatre Cocos,MU,-20.2078,57.7625,84.2,65,40,12.66
443,Gambēla,ET,8.25,34.5833,74.55,26,1,3.51
444,Camacupa,AO,-12.0167,17.4833,62.22,98,100,1.14
445,Upata,VE,8.0086,-62.3989,77.0,86,76,8.99
446,Darnah,LY,32.767,22.6367,63.68,43,100,30.51
447,Salinas,US,36.6777,-121.6555,51.8,87,1,4.61
448,Namie,JP,37.4833,141.0,39.99,44,15,18.03
449,Ngunguru,NZ,-35.6167,174.5,75.0,68,60,5.01
450,Marfino,RU,55.7028,37.3822,-2.2,84,0,4.47
451,Manokwari,ID,-0.8667,134.0833,82.54,76,92,4.03
452,Arrondissement de Riom,FR,45.9167,2.9167,35.6,69,0,3.44
453,Pangkalanbuun,ID,-2.6833,111.6167,94.24,46,90,4.61
454,Goya,AR,-29.14,-59.2626,68.67,61,0,4.54
455,Sagua la Grande,CU,22.8067,-80.0756,69.8,100,1,1.14
456,Aksha,RU,50.2814,113.2867,15.33,87,2,4.03
457,Rawson,AR,-43.3002,-65.1023,56.66,66,0,16.26
458,Ketchikan,US,55.3422,-131.6461,30.2,74,1,8.05
459,Huilong,CN,31.8111,121.655,46.0,61,98,1.01
460,Zandvoort,NL,52.3749,4.5341,24.01,80,75,25.32
461,Dakar,SN,14.6937,-17.4441,64.4,77,0,12.66
462,Kokopo,PG,-4.352,152.2633,85.3,71,74,10.8
463,Azare,NG,11.6765,10.1948,62.65,28,53,6.89
464,Cayenne,GF,4.9333,-52.3333,78.8,89,75,5.75
465,Lishu,CN,43.3047,124.3278,7.3,90,0,5.59
466,Coria,ES,39.9879,-6.5377,46.99,91,39,3.0
467,Yeppoon,AU,-23.1333,150.7333,98.6,41,40,4.61
468,Carbonia,IT,39.1672,8.5222,50.0,87,75,4.61
469,Bilibino,RU,68.0546,166.4372,-3.33,75,0,7.49
470,Tiarei,PF,-17.5333,-149.3333,86.0,62,40,10.36
471,Laï,TD,9.3952,16.2989,62.87,27,73,4.88
472,Letlhakeng,BW,-24.0944,25.0298,64.54,86,8,6.4
473,Esperance,AU,-33.8667,121.9,87.8,40,40,20.71
474,Constitución,CL,-35.3333,-72.4167,56.89,91,4,5.66
475,Roald,NO,62.5833,6.1333,23.0,54,20,11.5
476,Bembèrèkè,BJ,10.2283,2.6634,67.6,28,6,4.29
477,Nouadhibou,MR,20.931,-17.0347,59.0,77,0,18.41
478,Narok,KE,-1.0783,35.8601,60.57,89,100,4.36
479,Woodward,US,36.4337,-99.3904,30.2,93,90,9.22
480,Nālūt,LY,30.3333,10.85,50.41,47,0,9.69
481,Richards Bay,ZA,-28.783,32.0377,75.13,90,46,7.83
482,Praia,CV,14.9215,-23.5087,68.0,64,75,20.71
483,Mahanoro,MG,-19.9,48.8,82.62,71,46,10.2
484,Mentor,US,41.6662,-81.3395,15.01,67,90,12.66
485,Suşehri,TR,40.1644,38.0867,38.93,70,100,2.98
486,Rockhampton,AU,-23.3833,150.5,98.6,41,40,4.61
487,Biak,ID,-0.9131,122.8766,85.19,66,96,1.99
488,Dawlatabad,AF,36.4141,64.9053,65.93,31,74,1.83
489,Rodrigues Alves,BR,-7.738,-72.6509,74.1,95,100,1.92
490,Tupiza,BO,-21.45,-65.7167,56.79,65,98,3.11
491,Misratah,LY,32.3754,15.0925,62.8,43,56,14.58
492,Chicama,PE,-7.8447,-79.1469,72.28,70,93,4.5
493,Muros,ES,42.7762,-9.0603,52.0,84,61,10.0
494,Navalmoral de la Mata,ES,39.8916,-5.5406,43.0,95,84,14.61
495,Puerto Escondido,MX,15.85,-97.0667,80.6,83,20,5.53
496,Havøysund,NO,70.9963,24.6622,24.8,80,75,12.66
497,Gogrial,SS,8.5332,28.1004,58.66,33,43,4.41
498,Saltillo,MX,25.4167,-101.0,64.0,68,98,1.01
499,Bara,NG,10.3744,10.7288,62.44,30,88,4.27
500,Camabatela,AO,-8.1881,15.375,63.88,100,100,5.3
501,Te Anau,NZ,-45.4167,167.7167,65.37,66,100,5.75
502,Vazhiny,RU,60.9644,34.0222,-8.86,88,2,2.98
503,Auki,SB,-8.7676,160.7034,85.19,69,9,8.05
504,Pokaran,IN,26.9167,71.9167,75.99,18,0,5.26
505,Ust-Maya,RU,60.4167,134.5333,-20.45,84,100,4.45
506,Mitsamiouli,KM,-11.3847,43.2844,78.8,83,20,9.22
507,Choctaw,US,35.4976,-97.2689,34.0,93,90,10.36
508,Margate,GB,51.3813,1.3862,32.0,79,100,7.0
509,Alyangula,AU,-13.8483,136.4192,87.8,70,40,10.36
510,Kumul,CN,42.8,93.45,42.85,49,64,2.64
511,Sesheke,ZM,-17.4759,24.2968,67.78,94,100,5.99
512,Evensk,RU,61.95,159.2333,12.07,91,100,41.67
513,Bandar-e Lengeh,IR,26.5579,54.8807,64.4,88,0,4.61
514,Bayir,TR,37.2687,28.2167,60.8,67,75,11.5
515,Pangnirtung,CA,66.1451,-65.7125,20.88,76,0,7.07
516,Izumo,JP,35.3667,132.7667,39.2,93,75,1.14
517,Ca Mau,VN,9.1769,105.15,90.93,44,7,14.16
518,Sabla,NG,12.7525,4.7077,66.85,20,27,10.11
519,Usinsk,RU,65.9939,57.5281,-16.76,88,100,15.9
520,Jizan,SA,17.3333,42.6667,71.6,83,40,3.04
521,Cairns,AU,-16.9167,145.7667,89.01,79,93,5.75
522,Elesbão Veloso,BR,-6.2019,-42.1403,72.73,88,27,2.71
523,Emba,KZ,48.8264,58.1442,-6.11,89,51,15.21
524,Fiumicino,IT,41.7675,12.2291,53.6,66,40,13.8
525,Abnūb,EG,27.2696,31.1511,50.0,87,0,3.69
526,Cockburn Town,TC,21.4612,-71.1419,77.81,83,20,17.58
527,Port-Gentil,GA,-0.7193,8.7815,81.36,78,100,6.08
528,Lima,PE,-12.0432,-77.0282,75.0,88,0,11.5
529,Gualmatán,CO,0.9189,-77.5665,51.53,91,98,3.24
530,Nurota,UZ,40.5614,65.6886,51.8,71,100,9.22
531,Fort Nelson,CA,58.8053,-122.7002,-18.4,69,75,5.75
532,Kamenka,RU,51.3223,42.7678,-7.74,91,72,8.5
533,Jacareacanga,BR,-6.2222,-57.7528,74.21,97,100,1.5
534,Al Bardīyah,LY,31.7561,25.0865,63.59,46,100,21.25
535,Faya,SA,18.3851,42.4509,50.0,57,40,4.61
536,Yangi Marg`ilon,UZ,40.4272,71.7189,42.8,81,79,4.97
537,Paraty,BR,-23.2178,-44.7131,70.84,82,100,0.58
538,Sambava,MG,-14.2667,50.1667,79.88,79,60,3.94
539,Moravské Budějovice,CZ,49.0521,15.8086,27.0,96,99,2.86
540,San Patricio,US,28.017,-97.5169,60.8,77,1,8.05
541,Peniche,PT,39.3558,-9.3811,55.0,86,47,13.0
542,Oktyabr'skoye,RU,43.0645,44.7417,26.6,93,98,4.47
543,Kasempa,ZM,-13.4584,25.8338,64.78,96,100,4.85
544,Sungai Penuh,ID,-2.0833,101.3833,82.74,39,67,6.67
545,Pujehun,SL,7.3581,-11.7208,74.68,94,63,2.24
546,Lorengau,PG,-2.0226,147.2712,85.42,69,100,7.49
547,Pāvilosta,LV,56.8879,21.1859,14.0,92,20,3.44
548,Palmer,US,42.1584,-72.3287,25.0,63,75,11.5
549,Chiang Khong,TH,20.2613,100.4046,66.0,100,90,10.36
550,Baghmara,IN,23.795,86.2085,73.42,26,0,6.6
551,Kangaatsiaq,GL,68.3065,-53.4641,17.26,85,0,17.63
552,Berbera,SO,10.4396,45.0143,74.86,70,10,2.68
553,Williamsburg,US,37.2707,-76.7075,37.4,80,75,7.83
554,Selikhino,RU,50.3672,137.4996,-2.83,90,100,12.15
555,Ormond Beach,US,29.2858,-81.0559,57.2,77,75,11.5
556,Canoa,DO,18.355,-71.1585,73.72,83,29,4.59
557,Kasongo-Lunda,CD,-6.4667,16.8167,70.34,88,87,1.16
558,Imeni Poliny Osipenko,RU,52.4201,136.4853,13.55,92,100,9.4
559,Casper,US,42.8666,-106.3131,-0.99,84,1,4.61
560,Skibbereen,IE,51.55,-9.2667,35.6,64,90,18.41
561,Pak Kret,TH,13.913,100.4988,90.0,70,20,4.61
562,Tahoua,NE,14.8888,5.2692,64.4,16,58,4.61
563,Shishou,CN,29.7226,112.419,51.76,65,100,12.06
564,Yol,IN,32.1667,76.2,67.15,26,0,3.53
565,Yueyang,CN,29.3333,113.0919,49.96,77,100,11.81
566,Kaeo,NZ,-35.1,173.7833,75.0,68,80,5.01
567,Naranjal,EC,-2.6667,-79.6167,81.0,69,75,12.66
568,Campbell River,CA,50.0163,-125.2446,35.01,64,1,10.36
569,Sirte,LY,31.2089,16.5887,65.03,61,59,16.75
570,Conakry,GN,9.538,-13.6773,77.54,78,1,2.95
571,Cabimas,VE,10.3883,-71.4399,80.47,70,75,6.04
572,Buala,SB,-8.145,159.5921,84.33,78,79,10.25
573,Mandurah,AU,-32.55,115.7,75.0,75,81,3.0
574,Lapua,FI,62.9693,23.0088,6.01,91,20,3.04
575,Saint-Augustin,CA,51.226,-58.6502,13.03,93,33,8.01
576,Araruna,BR,-6.5583,-35.7417,67.95,100,69,5.66
